sku,name,slug,price,stock,category,image_url,product_url,pass_filter,filter_score,reason
100501027-T,Receptor de Ducha Esquinero Curvo Antideslizante Acrílico Blanco 80x120 Der,receptor-de-ducha-esquinero-curvo-antideslizante-acrilico-blanco-80x120-der,81396,7,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/04/Base-1.webp,https://victtorino.cl/producto/receptor-de-ducha-esquinero-curvo-antideslizante-acrilico-blanco-80x120-der/,True,5,precio_ok(81396) | stock_ok(7) | foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar)
100501026-T,Receptor de Ducha Esquinero Curvo Antideslizante Acrílico Blanco 90x90,receptor-de-ducha-esquinero-curvo-antideslizante-acrilico-blanco-90x90,67829,5,Shower/Mamparas/Receptaculos,https://victtorino.cl/wp-content/uploads/2026/04/Base-1.webp,https://victtorino.cl/producto/receptor-de-ducha-esquinero-curvo-antideslizante-acrilico-blanco-90x90/,True,5,precio_ok(67829) | stock_ok(5) | foto_ok | cat_aspiracional(Shower/Mamparas/Receptaculos) | margen_estimado(47%_revisar)
010703013-T,"Espejo 70 x 100 cm, 3 Luces Led Distintas",espejo-70-x-100-cm-3-luces-led-distintas,53796,7,Espejos,https://victtorino.cl/wp-content/uploads/2026/03/espejo-70x100-3-luces-led-victtorino-chile-01.webp,https://victtorino.cl/producto/espejo-70-x-100-cm-3-luces-led-distintas/,True,5,precio_ok(53796) | stock_ok(7) | foto_ok | cat_aspiracional(Espejos) | margen_estimado(47%_revisar)
010703002-T,Espejo Rectangular 45 x 60 cm Con Luz Led,espejo-rectangular-45-x-60-cm-con-luz-led,43367,9,Espejos,https://victtorino.cl/wp-content/uploads/2026/03/espejo-rectangular-45x60-luz-led-chile-01.webp,https://victtorino.cl/producto/espejo-rectangular-45-x-60-cm-con-luz-led/,True,5,precio_ok(43367) | stock_ok(9) | foto_ok | cat_aspiracional(Espejos) | margen_estimado(47%_revisar)
040204002-T,Llave Monomando de Tina Ducha Doménica,llave-monomando-de-tina-ducha-domenica,38122,6,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/Llave-Monomando-de-Tina-Ducha-Domenica-1.webp,https://victtorino.cl/producto/llave-monomando-de-tina-ducha-domenica/,True,5,precio_ok(38122) | stock_ok(6) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
040202004-T,Monomando Lavamanos Alto Modern Pituto Cromado,monomando-lavamanos-alto-modern-pituto-cromado,37767,6,Griferia,https://victtorino.cl/wp-content/uploads/2026/03/monomando-lavatorio-alto-modern-pituto-cromado-victtorino-chile.webp,https://victtorino.cl/producto/monomando-lavamanos-alto-modern-pituto-cromado/,True,5,precio_ok(37767) | stock_ok(6) | foto_ok | cat_aspiracional(Griferia) | margen_estimado(47%_revisar)
010703008-T,Espejo Rectangular 60 x 90 cm Con Diseño De Ondas,espejo-rectangular-60-x-90-cm-con-diseno-de-ondas,36117,5,Espejos,https://victtorino.cl/wp-content/uploads/2026/03/espejo-rectangular-60x90-diseno-ondas-victtorino-chile-01.webp,https://victtorino.cl/producto/espejo-rectangular-60-x-90-cm-con-diseno-de-ondas/,True,5,precio_ok(36117) | stock_ok(5) | foto_ok | cat_aspiracional(Espejos) | margen_estimado(47%_revisar)
020101002-T,Lavaplatos Simple Empotrado 100x44 cm Secador Izquierdo,lavaplatos-simple-empotrado-100x44-cm-secador-izquierdo,33116,19,Lavaplatos,https://victtorino.cl/wp-content/uploads/2026/03/Lavaplatos-Simple-Empotrado-100x44-cm-Secador-Izquierdo-1.webp,https://victtorino.cl/producto/lavaplatos-simple-empotrado-100x44-cm-secador-izquierdo/,True,5,precio_ok(33116) | stock_ok(19) | foto_ok | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar)
020101001-T,Lavaplatos Simple Empotrado 100x44 cm Secador Derecho,lavaplatos-simple-empotrado-100x44-cm-secador-derecho,33116,16,Lavaplatos,https://victtorino.cl/wp-content/uploads/2026/03/Lavaplatos-Simple-Empotrado-100x44-cm-Secador-Derecho-1-1.webp,https://victtorino.cl/producto/lavaplatos-simple-empotrado-100x44-cm-secador-derecho/,True,5,precio_ok(33116) | stock_ok(16) | foto_ok | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar)
020101003-T,Lavaplatos Empotrado 80x44 Secador Derecho,lavaplatos-empotrado-80x44-secador-derecho,30170,10,Lavaplatos,https://victtorino.cl/wp-content/uploads/2026/03/Lavaplatos-Empotrado-Simple-80×44-Inoxidable-Derecho-1.webp,https://victtorino.cl/producto/lavaplatos-empotrado-80x44-secador-derecho/,True,5,precio_ok(30170) | stock_ok(10) | foto_ok | cat_aspiracional(Lavaplatos) | margen_estimado(47%_revisar)
